,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
30,CFD,AF-230,F,5.333333333,4.518518519,-316.42748237730336,-276.4599109917767,,292.36419677734375,1007.0828247070312,679.0135498046875
31,CFD,AF-231,F,3.25,2.347826087,-284.0072616891556,-261.16534968076405,,144.32327270507812,843.5352783203125,516.895263671875
32,CFD,AF-232,F,3.769230769,2.846153846,-276.2033088414217,-250.27848155356995,,438.6483459472656,1146.27392578125,820.4037475585938
33,CFD,AF-233,F,5.178571429,4.035714286,-361.34692450516195,-284.24716549340644,,76.97145080566406,755.3968505859375,428.1098327636719
34,CFD,AF-234,F,4.518518519,3.185185185,-329.67365906473697,-277.3770188692872,,153.59507751464844,858.9046020507812,531.98291015625
35,CFD,AF-235,F,5.5,4.192307692,-306.44168793521794,-272.01547856987344,,387.64813232421875,1102.7237548828125,774.5953369140625
36,CFD,AF-236,F,5,3.666666667,-304.56256332091453,-270.0941884811703,,533.3858032226562,1247.60400390625,920.1962280273438
37,CFD,AF-237,F,5.185185185,4.555555556,-309.8533579276915,-270.99320071071156,,238.87921142578125,937.0790405273438,611.5501708984375
38,CFD,AF-238,F,4.037037037,2.888888889,-337.34502624295874,-278.2332634842202,,299.375,1001.4985961914062,676.4548950195312
39,CFD,AF-239,F,5.222222222,4.148148148,-321.5062204410683,-271.7844870960315,,146.977294921875,588.3848266601562,263.0689697265625
40,CFD,AF-240,F,4.75,3.586206897,-286.7617047790211,-262.9306851981977,,396.82696533203125,1097.5120849609375,773.9310302734375
41,CFD,AF-241,F,4.916666667,2.958333333,-315.48676157938166,-273.22249053829415,,232.64892578125,908.9410400390625,587.922607421875
42,CFD,AF-242,F,5.518518519,4.964285714,-290.251164554894,-267.4608855959128,,364.3867492675781,1059.921630859375,736.244873046875
43,CFD,AF-243,F,5.137931034,4.413793103,-280.6226001537906,-254.6634714922965,,324.7504577636719,1027.6417236328125,702.705078125
44,CFD,AF-244,F,5.458333333,4.666666667,-305.60614561956095,-267.3421202196127,,113.80077362060547,762.9324340820312,439.81365966796875
45,CFD,AF-245,F,5.037037037,4.555555556,-311.5731160114513,-273.47029909389903,,498.17462158203125,1205.7755126953125,879.7719116210938
46,CFD,AF-246,F,4.740740741,3.615384615,-283.1620421755843,-259.217536504361,,874.4627075195312,1585.291748046875,1259.31103515625
